"","Nome","upp","Complexo","OBJECTID_1","OBJECTID","Codfavela","Cod_Comple","Flag_Ativa","Data_Cadas","Data_saida","Data_Alter","Pop_SABREN","Dom_SABREN","Fonte","Bairro_","RP","RA","AP","Porte","Shape_ST_1","Shape_ST_2","ShapeSTAre","ShapeSTLen","data_ocupacao","data_fim","Treatment","year.occupation","month.occupation","day.occupation","year.fim","month.fim","day.fim"
"910","Vila Catiri","N","Vila Catiri","414","414","278","2121","1","1981-09-09T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","3396","1082","IBGE - Censo Demográfico 2010","0","5.1","17","5","> 500 domicílios",1822.00605044,98349.7825477,98349.7827148438,1822.00605043504,NA,NA,0,NA,NA,NA,NA,NA,NA
"911","Vila Clarim","N","Isolada","52","52","475","0","1","1991-08-13T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","251","71","IBGE - Censo Demográfico 2010","0","4.1","16","4","< 100 domicílios",293.03352212,4592.03529588,4592.03564453125,293.033522121417,NA,NA,0,NA,NA,NA,NA,NA,NA
"912","Vila Comari","N","Vila Mangueiral","379","379","291","2131","1","1981-09-16T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","364","114","IBGE - Censo Demográfico 2010","0","5.2","18","5","entre 101 e 500 domicílios",980.42926553,15291.4901539,15291.4912109375,980.429265530734,NA,NA,0,NA,NA,NA,NA,NA,NA
"913","Vila Cruzeiro","Vila Cruzeiro","Vila Cruzeiro","717","718","109","2031","1","1981-05-28T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","8611","2336","IPP com base em IBGE - Censo Demográfico 2010","0","3.1","10","3","> 500 domicílios",2723.3590169,241818.860708,241818.861816406,2723.35901690473,"2010-11-28",NA,1,2010,11,28,NA,NA,NA
"914","Vila da Amizade","N","Isolada","872","873","771","0","1","2003-01-21T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","116","37","IPP com base em IBGE - Censo Demográfico 2010","0","3.2","13","3","< 100 domicílios",423.16740559,8192.17110541,8192.171875,423.167405590318,NA,NA,0,NA,NA,NA,NA,NA,NA
"915","Vila da Conquista","Cidade de Deus","Isolada","83","83","919","0","1","2009-01-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","278","80","IBGE - Censo Demográfico 2010","0","4.1","16","4","< 100 domicílios",692.10701405,12892.8721011,12892.8715820312,692.107014055619,"2008-11-11",2018-08-01,1,2008,11,11,2018,8,1
"916","Vila da Imaculada Conceição","N","Isolada","817","818","32","0","1","1981-05-28T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","151","49","IPP com base em IBGE - Censo Demográfico 2010","0","2.1","4","2","< 100 domicílios",712.24656137,6581.80945794,6581.80859375,712.246561365309,NA,NA,0,NA,NA,NA,NA,NA,NA
"917","Vila da Paz (RA - Barra da Tijuca)","N","Tijuquinha","364","364","443","2107","1","1991-07-18T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","551","183","IBGE - Censo Demográfico 2010","0","4.2","24","4","entre 101 e 500 domicílios",336.39912437,6655.80743882,6655.80712890625,336.399124370435,NA,NA,0,NA,NA,NA,NA,NA,NA
"918","Vila da Paz (RA - Méier)","N","Isolada","939","940","1051","0","1","2009-03-27T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","306","88","IPP com base em IBGE - Censo Demográfico 2010","0","3.2","13","3","< 100 domicílios",372.3205524,5175.60164234,5175.6015625,372.320552409762,NA,NA,0,NA,NA,NA,NA,NA,NA
"919","Vila da Rua Viúva Cláudio, nº 211","Jacarezinho","Jacarezinho","780","781","782","2083","1","2003-01-23T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","622","185","IPP com base em IBGE - Censo Demográfico 2010","0","3.2","13","3","entre 101 e 500 domicílios",199.92085587,1923.78514514,1923.78515625,199.920855870989,"2012-10-14",NA,1,2012,10,14,NA,NA,NA
"920","Vila das Rosas","N","Isolada","446","446","552","0","1","1991-10-17T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","271","89","IPP com base em IBGE - Censo Demográfico 2010","0","5.1","17","5","< 100 domicílios",438.09131068,9075.85846557,9075.857421875,438.091310679372,NA,NA,0,NA,NA,NA,NA,NA,NA
"921","Vila das Torres","N","Vila Santa","584","584","232","2060","1","1981-08-24T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","287","92","IBGE - Censo Demográfico 2010","0","3.3","15","3","< 100 domicílios",549.07403366,4037.40407975,4037.4033203125,549.074033654165,NA,NA,0,NA,NA,NA,NA,NA,NA
"922","Vila do Almirante","N","Isolada","240","240","516","0","1","1991-09-16T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","1273","366","IBGE - Censo Demográfico 2010","0","5.1","33","5","entre 101 e 500 domicílios",2316.16351504,43096.4903102,43096.4916992188,2316.16351504622,NA,NA,0,NA,NA,NA,NA,NA,NA
"923","Vila do Céu","N","Vila do Céu","260","260","292","2130","1","1981-11-17T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","3014","919","IBGE - Censo Demográfico 2010","0","5.2","18","5","> 500 domicílios",2476.77841805,198738.230113,198738.231933594,2476.77841804607,NA,NA,0,NA,NA,NA,NA,NA,NA
"924","Vila do Mexicano","Caju","Isolada","740","741","1052","0","1","2009-03-27T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","326","89","IBGE - Censo Demográfico 2010","0","1.1","1","1","< 100 domicílios",379.96159794,8439.77960854,8439.779296875,379.961597945533,"2013-03-03",2018-12-01,1,2013,3,3,2018,12,1
"925","Vila do Vintém","N","Vila do Vintém","441","441","279","2113","1","1981-09-02T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","14647","4728","IBGE - Censo Demográfico 2010","0","5.1","17","5","> 500 domicílios",3218.30500716,476615.161112,476615.16015625,3218.30500715809,NA,NA,0,NA,NA,NA,NA,NA,NA
"926","Vila Dom Fábio","N","Isolada","659","660","779","0","1","2003-01-22T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","274","83","IPP com base em IBGE - Censo Demográfico 2010","0","3.4","12","3","< 100 domicílios",309.16696124,3776.44289545,3776.443359375,309.166961240805,NA,NA,0,NA,NA,NA,NA,NA,NA
"927","Vila dos Crentes","N","Isolada","310","310","376","0","1","1981-10-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","614","204","IBGE - Censo Demográfico 2010","0","4.2","24","4","entre 101 e 500 domicílios",1528.09714742,18169.6999511,18169.701171875,1528.09714741142,NA,NA,0,NA,NA,NA,NA,NA,NA
"928","Vila dos Mineiros","N","Jardim Piedade","161","161","233","2043","1","1981-08-19T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","191","69","IPP com base em IBGE - Censo Demográfico 2010","0","3.2","13","3","< 100 domicílios",249.35264268,3867.00585588,3867.00537109375,249.352642676879,NA,NA,0,NA,NA,NA,NA,NA,NA
"929","Vila Doutor Crespo","N","Isolada","3","3","649","0","1","2002-03-27T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","220","72","IBGE - Censo Demográfico 2010","0","4.2","24","4","< 100 domicílios",354.86752648,2534.09273381,2534.09326171875,354.867526476762,NA,NA,0,NA,NA,NA,NA,NA,NA
"930","Vila Elza","Escondidinho / Prazeres","Vila Anchieta","922","923","624","2007","1","1995-06-14T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","317","93","IBGE - Censo Demográfico 2010","0","1.1","23","1","< 100 domicílios",774.06721857,13824.0460717,13824.046875,774.067218572778,"2011-01-06",NA,1,2011,1,6,NA,NA,NA
"931","Vila Esperança (RA - Pavuna)","N","Acari","543","543","350","2073","1","1982-03-08T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","5233","1538","IBGE - Censo Demográfico 2010","0","3.6","25","3","> 500 domicílios",2595.00097244,139710.386238,139710.388183594,2595.00097244442,NA,NA,0,NA,NA,NA,NA,NA,NA
"932","Vila Esperança (RA - Realengo)","N","Vila do Vintém","188","188","1066","2113","1","2009-05-13T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","414","141","IBGE - Censo Demográfico 2010","0","5.1","33","5","entre 101 e 500 domicílios",517.64815846,13475.8833829,13475.8837890625,517.648158449905,NA,NA,0,NA,NA,NA,NA,NA,NA
"933","Vila Esperança de Guadalupe","N","Vila Eugênia","572","572","518","2059","1","1991-10-03T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","2747","845","IBGE - Censo Demográfico 2010","0","3.6","22","3","> 500 domicílios",1688.63851651,74998.5648789,74998.56640625,1688.63851650577,NA,NA,0,NA,NA,NA,NA,NA,NA
"934","Vila Eugênia","N","Vila Eugênia","187","187","351","2059","1","1981-09-23T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","4686","1485","IBGE - Censo Demográfico 2010","0","3.3","15","3","> 500 domicílios",2393.70107219,134915.277442,134915.277832031,2393.70107219063,NA,NA,0,NA,NA,NA,NA,NA,NA
"935","Vila Getúlio Vargas","N","Isolada","64","64","430","0","1","1988-01-02T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","304","106","IPP com base em IBGE - Censo Demográfico 2010","0","4.1","16","4","entre 101 e 500 domicílios",283.94635605,3089.86134559,3089.86083984375,283.946356050136,NA,NA,0,NA,NA,NA,NA,NA,NA
"936","Vila Itaocara","N","Isolada","699","700","402","0","1","1985-05-02T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","222","75","IPP com base em IBGE - Censo Demográfico 2010","0","3.4","12","3","< 100 domicílios",497.45599408,5769.38376147,5769.3828125,497.455994078057,NA,NA,0,NA,NA,NA,NA,NA,NA
"937","Vila Jandira","Jacarezinho","Jacarezinho","779","780","490","2083","1","1991-11-04T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","503","152","IBGE - Censo Demográfico 2010","0","3.2","28","3","entre 101 e 500 domicílios",683.79732971,9602.17912643,9602.17919921875,683.79732970801,"2012-10-14",NA,1,2012,10,14,NA,NA,NA
"938","Vila Jardim Novo Realengo","N","Isolada","236","236","515","0","1","1991-09-23T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","253","76","IPP com base em IBGE - Censo Demográfico 2010","0","5.1","33","5","< 100 domicílios",362.51368256,4830.53983955,4830.53955078125,362.513682550785,NA,NA,0,NA,NA,NA,NA,NA,NA
"939","Vila Joaniza","N","Vila Joaniza","649","650","451","2067","1","1990-03-13T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","11999","3816","IBGE - Censo Demográfico 2010","0","3.7","20","3","> 500 domicílios",4025.15215819,292620.405478,292620.404296875,4025.15215819438,NA,NA,0,NA,NA,NA,NA,NA,NA
